college,college_name,zip,county,mean_students_per_cohort,ec_own_ses_college,ec_own_ses_se_college,ec_parent_ses_college,ec_parent_ses_se_college,ec_high_own_ses_college,ec_high_own_ses_se_college,ec_high_parent_ses_college,ec_high_parent_ses_se_college,exposure_own_ses_college,exposure_parent_ses_college,bias_own_ses_college,bias_parent_ses_college,bias_high_own_ses_college,bias_high_parent_ses_college,clustering_college,support_ratio_college,volunteering_rate_college,ec_parent_ses_college_quartile,bias_own_ses_college_quartile,change_ses
203600,Bates College,4240,23001,427,1.8208899,0.023630001,1.57617,0.040109999,1.8896,0.01348,1.63933,0.03308,1.83136,1.62133,0.00571,0.027860001,-0.031800002,-0.0111,0.33397001,0.99980003,0.093440004,4,3,1.536060001
203800,Bowdoin College,4011,23005,418,1.8118,0.022700001,1.51108,0.038600001,1.88203,0.0139,1.55773,0.034650002,1.81643,1.57529,0.00255,0.040759999,-0.036120001,0.01115,0.33916,0.99974,0.10434,4,3,1.472479999
203900,Colby College,4901,23011,491.6666666666667,1.83269,0.026900001,1.48245,0.041000001,1.89031,0.01358,1.55575,0.034370001,1.83349,1.5639499,0.00043,0.052110001,-0.030990001,0.00524,0.32756001,0.99959999,0.0986,4,3,1.441449999
204000,University of Maine at Farmington,4938,23007,4470.666666666667,1.4965,0.02946,1.01384,0.035500001,1.59016,0.02269,1.06059,0.034499999,1.4498,1.0270801,-0.03221,0.01289,-0.096809998,-0.032620002,0.27884001,0.99805999,0.11048,2,1,0.978339999
204100,University of Maine at Fort Kent,4743,23003,4470.666666666667,1.2901599,0.051229998,0.97321999,0.062689997,1.37942,0.04315,0.98913002,0.062809996,1.2119401,0.93377,-0.064549997,-0.042240001,-0.1382,-0.059289999,0.39757001,0.99615002,0.062820002,2,1,0.910529993
204300,Husson University,4401,23019,238.6666666666667,1.47473,0.029890001,1.06147,0.034230001,1.56213,0.02383,1.09113,0.03342,1.3980401,1.04843,-0.05486,-0.01244,-0.11737,-0.04073,0.26449001,0.99535,0.06092,2,1,1.027239999
204400,Maine Maritime Academy,4420,23009,145.6666666666667,1.52952,0.034000002,1.15482,0.044569999,1.61072,0.028240001,1.1718,0.043559998,1.46585,1.14008,-0.043430001,-0.01293,-0.09883,-0.02782,0.42699999,1,0.070200004,3,1,1.110250001
205100,Saint Joseph's College of Maine,4084,23005,229.6666666666667,1.64074,0.036180001,1.2922,0.0469,1.7440799,0.026590001,1.3062,0.044429999,1.59913,1.25614,-0.02602,-0.0287,-0.090640001,-0.03985,0.42093,0.99914998,0.056540001,3,1,1.2453
205200,Thomas College,4901,23011,125.6666666666667,1.5217299,0.03974,1.0260201,0.048909999,1.5992301,0.03272,1.03115,0.049169999,1.4467,0.98961002,-0.051860001,-0.036789998,-0.10543,-0.041979998,0.44398999,0.99983001,0.048,2,1,0.977110101
205300,University of Maine,4469,23019,4470.666666666667,1.5692,0.01805,1.16617,0.020330001,1.69923,0.01179,1.23281,0.019409999,1.5534101,1.17479,-0.01017,0.00734,-0.093869999,-0.049389999,0.19407,0.99340999,0.074539997,3,2,1.145839999
